headlines,targets
A heat wave in Siberia signals dangerous Arctic warming,1
Barack Obama : More controlled burns to reduce wildfires,1
How the Supreme Court Shapes (and is Shaped by) its Public Support,1
How a volcano may have led to the rise of the Roman Empire,1
Scientist warn San Andreas Fault earthquake more likely after Ridgecrest quakes,1
Rising water levels and floods causing immense distress,1
"Assam floods claim six more lives, death toll climbs to 66",1
Digital marketplace makes billions in financing available for Texas infrastructure projects,1
What is a supercell? Why these thunderstorms can form violent tornadoes,1
Bushfires stretched many states' resources,1
Siberian heatwave would have been 'effectively impossible' without humans,1
New cloud of Sahara dust will prevent hurricanes in the Caribbean,1
Southland and Otago flood protection projects secure $30 million in funding,1
"Hundreds of houses buried, body bags mount as flood ravages parts of Indonesia",1
3.5 lakh people marooned in Jamalpur flood,1
"Flash floods claim 21 lives in Indonesia's Sulawesi province, rescue operations on",1
VIDEO: Wildfire rages Colorado forests in US,1
$308 million for drought relief,1
2020 Atlantic hurricane season keeps beating records,1
"With Sea Level Rise, High-tide Flooding Spikes Along U.S. Coasts",1
"Govt announces over $40 million for various Otago and Southland projects, including flood protection",1
Funding for Southland flood protection,1
"A helicopter makes a drop on a wildfire as it burns near Evergreen, Colo. US",1
"A Heat Wave, the Coronavirus: Double Spikes of Risk Hit Communities",1
"With COVID Tests Flooding In, US Healthcare Systems Are Breaking Down",1
"S.A. is in a drought, here are 9 things residents can/cannot do",1
"Assam flood death toll at 66, over 35.73 lakh affected",1
"Tornado tore down trees in Devon not a UFO, says Met Office",1
£3.3m flood defence scheme to protect homes and businesses,1
‘Dirty’ Heatwave may not even happen; Here’s why,1
"12 killed in rain, flood related incidents in India; red alert issued for Mumbai, coastal areas",1
Portugal heat wave heightens risk of wildfires,1
Rising sea levels will spark 'extraordinary' US coastal flooding,1
JD Wetherspoon pub forced to close after second major flood in six months,1
"'Extraordinary' increase of coastal flooding in US due to sea level rise, report says",1
First Trailer for Jamie Foxx’s Project Power is Pure Superpowered Pharmaceutical Mayhem,1
"Assam flood situation worsens; 66 dead, 36 lakh affected",1
Forest officials rescue tigress which strayed out of flood-hit Kaziranga national park,1
"Floods, lightning force delays to UAE's historic Mars mission",1
"Mineral fire in Fresno County grows to 11,000 acres as firefighters battle ‘extreme’ behavior",1
The Agenda: Charleston requiring masks in all public places; Coastal flooding rates alarm analysts,1
Genetic drivers of high-rise rice that survives deep floods,1
"Utah wildfire that burned 11,700 acres started by fireworks, 3 teenage suspects sought",1
66 animals die as flood waters submerge Assam's Kaziranga national p,1
"Assam floods: Nearly 36 lakh people affected, death toll rises to 66",1
Data From Arizona's Woodbury Analyzed In Climate Change Study,1
Seven more people die in flood-related incidents in Assam; nearly 36 lakh hit by deluge,1
The untold truth of hurricane hunters,1
"Data analytics can predict global warming trends, heat waves",1
Indonesia: Death toll in flash flood rises to 21,1
Fog Traps Save Chilean Farming Community from Severe Drought,1
"Assam floods: Over 45 lakh people across 30 districts affected, 59 d",1
7 more people die in flood-related incidents in Assam; nearly 36 lakh hit by deluge,1
"Assam Flood: Chief Minister Sarbananda Sonowal’s native village, constituency submerged in water",1
Flood evacuees in Johor down to 438,1
Indonesia floods death toll rises to 21,1
Devastating China flooding puts controversial Three Gorges Dam under new scrutiny,1
Data analytics can help predict global warming trends and heat waves,1
"Assam flood situation continues to remain grim; over 35 lakh affected, 66 dead",1
"Fundraisers, drives and donations around Midland County help flood victims and volunteers",1
"Floods kill 21 in South Sulawesi, forces more than 2,600 to evacuate as coronavirus worsens in Indonesia",1
Tenbury Wells given £4.9 million flood defences boost from Environment Agency,1
A new approach to saving lives: CERF in Bangladesh,1
Environment Agency strategy appears to omit flood defence for farmland,1
Dog walks and catwalks / Wednesday's best photos,1
West overlooks contribution of China to regional water resource,1
WATCH: Mamelodi flood victims finally get new home in Mooiplaats,1
Weather Wednesday: Understanding more about the deadly Dalton tornado,1
WeatherTalk: 1936 heat wave the worst on record,1
COVID-19: Risk of spread at flood relief centres,1
"Reward farmers for nature-based solutions to flooding, NFU says",1
"River dams in China helped alleviate drought along Lancang-Mekong, research finds",1
Death toll in Indonesia flash flood rises to 21; 2 missing,1
The coronavirus shows we should treat public health the same as public works,1
More Warming Means Worse Impacts from Runoff and Drought,1
A Third of Bangladesh Is Under Water. These Photos Show the Extent of the Floods.,1
"Severe weather, heavy rain threat for Central US as heat wave shows signs of easing",1
‘DDoS-For-Hire’ Is Fueling a New Wave of Attacks,1
Agricultural experts hope recent rains will assist crop growth in Western Cape,1
Fifty dead and two million hit by India monsoon floods,1
At least 16 dead and dozens missing as heavy floods hit Indonesia,1
Mineral Products Association welcomes Flooding announcement,1
Alarm bells ring over disease spread as Hyderabad's Osmania Hospital flooded after heavy rain,1
Floodwaters inundate fresh areas in Brahmaputra basin,1
"Monsoon Rains Pummel South Asia, Displacing Millions",1
Commentary: Floods cannot hamper China's resolve in poverty alleviation,1
China warns of more floods as Yangtze stays above warning levels,1
Bangladesh floods: more than a million stranded as waters rise,1
PM Lee offers condolences after floods in Japan leave dozens dead,1
"Heat expected to spread north, severe storms with tornado threats expected in Midwest",1
Police dismiss video of Chinese qigong master holding back floods,1
Dr Noor Hisham announces Covid-19 guidelines and SOPs for Malaysia’s flood relocation centres,1
"Farming's role must be properly valued, NFU says in response to EA Flood Strategy",1
How Ambiental Risk Analytics Is Mastering Environmental Risk Data for Protection against Australian Flood Events,1
"China Flooding Worsens: 141 Dead or Missing, 38 Million Affected and More Rain in the Coming Days",1
New £2m grant means flood defence plans to protect port are one step closer,1
"As Pakistan glacier melt surges, efforts to cut flood risk drag",1
Bangladesh floods: more than a million marooned as waters rise,1
Report shows increase in flooding nationwide,1
Flooded southern China braces for more storms,1
"Flash floods, landslides kill 16 in Indonesia, 23 still missing",1
Nepal hydroelectricity sector gets COVID-19 shock,1
"Cyclone Amphan aid scam: TMC expels party leaders; BJP, CPI(M) talk tough too",1
In Pictures: Grim flood situation in Assam affects 3 million,1
Pizzastock 4: Spreading Musical Message with a Slice,1
Jehovah Witnesses Church in drought relief exercise,1
"Forget Coronavirus, Hurricane Season Could Threaten Outdoor RNC Events",1
Worcester MP Robin Walker welcomes funding to tackle flooding,1
Postal Workers Are Dying In Heat Waves. Climate Change Will Make It Much Worse.,1
UN helps monsoon-affected river communities in Bangladesh before peak flooding hits,1
77 dead in floods and landslides in Assam,1
Battle between Celeste Barber and the NSW RFS re-ignites over $51million bushfire appeal funds,1
China floods force rural towns and villages to recall migrant workers,1
"Damage to Rogers Place shouldn’t change Edmonton’s NHL hub city plans: Iveson, OEG",1
"Intense rainfall over north, northeast from July 19-21, may accentuate flood conditions: IMD",1
"Dalai Lama express solidarity, makes donation to victims of Assam floods",1
Watch: Burst water main floods M66 and causes traffic delays,1
"Siberia’s heat wave would’ve been almost impossible without climate change, scientists say",1
Support pours in for over 3.5 million people hit by floods in Assam,1
The coronavirus crisis was already bad. Extreme heat waves are making it worse.,1
Support pouring in for over 3.5 million people hit by floods in Assam,1
Climate Change Multiplies Flood Risk on Cape and Islands,1
Kaiapoi: The mending of a broken town,1
Google bets on undersea cables to track earthquakes,1
Sheltering people during COVID-19 will be difficult this hurricane season,1
Daily Noon Briefing Highlights: Bangladesh - Nepal - Syria,1
Wuhan issues a red alert for flooding as footage shows surging river 'hanging above' the streets,1
"8,000 homes on Hampshire coast are at risk of flooding after sea defences fail",1
2020 hurricane season: Researchers predict 20 named storms,1
‘The Falcon & The Winter Soldier’ Won’t Make August Premiere Date On Disney+ Because Of COVID…,1
Where is water distributed during a drought?,1
"Mark Madden: Penguins’ Jake Guentzel isn’t the only NHL player returning from injury, you know",1
"Floods, landslides kill 221 in Asia",1
"Assam flood situation remains grim; 5 more dead, nearly 36 lakh affected",1
The African Continent is Breaking Apart as a New Ocean is About to Flood Over the Afar Region,1
7 Stories About Appalachia You Probably Won't See In Mainstream Media,1
Mini heatwave forecast across Essex this weekend,1
Town misses out on flood money,1
"5 more killed, over 36L affected in Assam floods",1
Earthquake scientists make the most of lockdown,1
Google can now detect undersea earthquakes with its submarine fiber optic network,1
Low-lying areas marooned in Udupi,1
'Horse Shadow' town keeps residents safe and dry amid flooding,1
DC directs officials to allocate sites to flood victims,1
"Slight improvement in flood situation in Assam, nearly 36 lakh people still affected",1
"Weird, Z-shaped faults could trigger a large earthquake on California's San Andreas Fault",1
Calderdale Council announces new flood support fund,1
"'Your Help Doesn't Help Me.' In Oregon, The Unsheltered Tire Of Shuffling Around",1
Xi Focus: Xi chairs leadership meeting on flood control,1
"Dalai Lama writes to Assam CM over flood situation in state, expresses solidarity with victims",1
"Colorado wildfire causes over 1,000 evacuations",1
California will see both more flooding and more drought by the end of the century,1
Where is the water during a drought?,1
Indonesia flash floods death toll rises to 36 with 66 people now missing,1
"'We are with you': Dalai Lama, football club Arsenal stand with flood-hit Assam",1
South Africa Ends State of Disaster Despite Persistent Drought,1
Flood-hit Assam needs our attention: Sunil Chhetri,1
Flood grant opportunity to better protect properties,1
Sweltering Siberian heatwave that led to record Arctic temperature 'impossible' without climate …,1
Temperatures in Massachusetts to feel as hot as 102 degrees Monday as heat wave hits;…,1
Slovenia experiences 4.2 earthquake on Italian border,1
"20,000 families marooned in",1
Floods Put Residents And Vulnerable Wildlife At Risk In India's Assam,1
Assam flood kills 5 more; 36 lakh affected,1
Drought Areas Expanding Across the Northern Plains,1
Flood situation improving in Brahmaputra basin,1
Flood situation in B’putra basin showing improving trend,1
Death toll in Indonesia flash floods rises to 36; 66 missing,1
'People expect change' but it may not come after fire inquiries finish,1
£5 million flood defence scheme for village after ‘major incident’,1
River plants counter both flooding and drought to protect biodiversity,1
Volunteers to canvass Wilson County for tornado relief,1
"PPS in Muar, Tangkak closed as flood waters recede",1
"Assam Floods: 71 dead, over 39 lakh affected in 27 districts",1
"CPC allocates Party fees for flood control, disaster relief",1
Vandalism of NY Village's 9/11 FF Memorial Draws Donations,1
"Over 200 km of roads, 95 bridges still destroyed in western Ukraine after floods",1
Xi Jinping holds meeting on flood control amid record flood in China,1
"71 dead, over 39 lakh affected due to Assam floods",1
New tornado relief grants bring CFMT total over $3.7M,1
Dalai Lama expresses solidarity with Assam flood victims,1
"Heavy rain forecasted for July 19-23; alerts issued for floods, landslides in Nepal",1
"Monsoon floods, landslides ravage South Asia, at least 221 dead",1
How to style and look after your hair in a heatwave,1
High Temperatures Only Tell Part Of The Heat Wave Narrative,1
Xi chairs leadership meeting on flood control,1
"In Houston’s Fifth Ward, the Storm Never Stops",1
Jamuna continues to swell worsening flood in Tangail,1
Indonesian rescuers hunt for dozens missing after floods kill 36,1
"Edmonton's Rogers Place incurs wind, flood damage from severe thunderstorm",1
Assam floods need our attention: Sunil Chhetri,1
DTE Offers Energy Efficiency & Costs-Saving Tips During Summer Heat Wave,1
Doctors And Dentists Still Flooding U.S. With Opioid Prescriptions,1
"Heat wave spreading across Midwest, Northeast",1
"Dalai Lama saddened by Assam floods, writes to CM expressing solidarity",1
Earthquake of 4.2 magnitude hits Mizoram’s Champhai district,1
Earthquake of 4.2 magnitude hits Mizoram,1
Doncaster councillor rages after massive flood protection projects leave out borough,1
7.0 magnitude earthquake hits Papua New Guinea,1
EU officially adopts €100 million package for the reconstruction of Albania,1
AIR updates U.S. hurricane & inland flood catastrophe models,1
Assam floods: NDMA safety guidelines during monsoon for flood-prone areas,1
China warns of 'stronger flood' as Three Gorges Dam faces swell,1
'India For Assam' to raise fund for flood-hit state,1
Magnitude-4.2 earthquake hits Mizoram,1
Red alerts in China as floods maroon equipment to fight coronavirus,1
"Earthquake of 4.2 magnitude hits Mizoram, the ninth quake to rock the state in one month",1
"Scattered T-Storms Possible Friday; Dangerous Heat, Humidity Hit Early Next Week",1
"Rogers Place Floods During Storm, Just 10 Days Before NHL Teams Arrive In Edmonton",1
"Zimbabwe Economy to Shrink by 4.5% This Year on COVID-19, Drought",1
How Local Fire Departments Are Preparing To Safely Fight Wildfires During A Pandemic,1
"Assam floods: Over 39 lakh affected across 27 districts, death toll reaches 71",1
"Farming’s role in flood management must be properly valued, say industry leaders",1
"Some 105 BJP MLAs in touch with Congress, claims Maharashtra minister Yashomati Thakur",1
Indonesia on high alert for forest fires until November as dry season is delayed: Environment minister,1
River Severn partnership secures over £40m boost for flood defence,1
Flood situation worsens further in Jamalpur,1
"Việt Nam provides US$100,000 to China as flood and earthquake relief",1
"Floods Kill Five in Assam, 2 Die in Rain-Related Incidents in Mumbai; More Rains Likely",1
"Flood-hit Assam needs our attention and assistance, urges Sunil Chhetri",1
Heat Watch Issued for Part of Tri-State This Weekend,1
"Flood-hit Assam needs our attention, urges Chhetri",1
PNG shaken by big quake off northen coast,1
Siberia’s hot 2020 “effectively impossible” without global warming,1
Water works lead to garden flood in Dursley,1
Three Gorges Reservoir expects continuous heavy flows,1
"'Assam needs attention', India captain Sunil Chhetri aims to draw attention towards flood-hit north-eastern state",1
Rising water levels in rivers spark panic in Bihar,1
China’s Wuhan & 3 provinces declare red alert amid worst floods in decades,1
Strong 7.0 magnitude earthquake hits Papua New Guinea,1
Germany contributes $10m to support smallholder farmers affected by climate change in Zambia,1
Hundreds of domestic tourists stranded by western Mongolia floods,1
Hailstorm in June Was One of Canada’s Costliest Thunderstorm-Related Events: Aon,1
Space oddity: Mexican group claims alien base offers hurricane protection,1
"Kota Belud: TH gives RM142,500 to 285 families affected by floods",1
China's Yangtze River sees second flood of the year,1
"Stage 2 fire restrictions not needed, yet; Rainfall in Aspen for July well below normal",1
Showers possible for Northland but worst is over,1
Here's Where to Find a Cooling Center as Sweltering Temps Ramp Up,1
Heat wave from Iraq grips Turkey,1
"Homes uninhabitable, farms underwater: Full extent of Northland flood damage becoming clear",1
Cyclone affected people living in shelters for two months,1
Assam floods: Relief camps battle to keep Covid at bay,1
Widespread rain in North Karnataka,1
"Bangladesh, Nepal warn of rising rivers as monsoon death toll climbs to nearly 200",1
Anhui dam blown up to release floodwaters,1
"Northland floods leave homes uninhabitable, farms under water",1
"Severe thunderstorms rock northern Michigan, tornado in Wisconsin causes damage",1
Severe weather prompts Tornado warnings for parts of southern Ontario,1
"Hundreds killed, 4 million displaced after heavy rain, flooding in India and Nepal",1
"Watch: Rhino sleeps on road in flood-hit Assam, India",1
"Letters: TV news, flood, water shortage and council rates",1
"Amid Covid-19, floods, PM Modi speaks to CMs of seven states",1
Early Risers Modify Workouts as Heat Wave Begins,1
"PM dials CMs of 7 states to discuss COVID-19, floods",1
White Island volcano survivor shares details about her recovery and most painful part of ordeal,1
"Mint Lite | India hits 1 mn corona cases, Assam floods, masks, Mars & other news",1
Assam is going through a difficult phase: Chief Minister Sarbananda Sonowal,1
"An ocean heatwave is developing in the North Pacific, threatening with the ecosystem disruption in the region",1
"Floods in India, Nepal displace nearly four million people",1
State parks in Massachusetts fill up fast amid heat wave,1
"Summer heat wave spreads into Northeast, over 115 million under alerts from stifling conditions",1
Women to the fore in battle against floods,1
Private rescue team aids Yangtze River flood relief,1
China blasts surging dam as flood death toll climbs,1
"Assam floods: Five more die, toll mounts to 84",1
24 million Chinese affected by floods in July,1
Record China flooding impacts PPE supply chain to US,1
"Severe Storm Warning, Watch: 60 MPH Winds, Hail Possible",1
"Assam floods: Death toll rises to 110, over 100 Kaziranga animals dead",1
Assam Floods: Death toll rises to 84; CM Sonowal announces Rs 4 lakh ex gratia for kin of victims,1
Assam flood fury: Ground report from Kamrup district,1
"China flooding death toll rises as surging waters trigger new alerts, dam blasted",1
"Death toll rises to 84 in Assam floods, CM Sonowal announces Rs 4L e",1
"Heatwave, air quality warning for NYC on Sunday",1
"Severe storms bring large hail, damaging winds, likely tornadoes to Minnesota and western Wisconsin",1
"Three Gorges Dam stable, prevents out-of-control floods: operator",1
Five more deaths in Assam flood; PM Modi assures help,1
5 people die in flood-related incidents in Assam,1
"Flood situation worsens in Ganges basin, improving in Brahmaputra",1
Assam floods: Five more people die; over 25 lakh people hit by deluge,1
5 people die in flood-related incidents in Assam; over 25 lakh people affected,1
Several rare rhinos die in flooded Indian park,1
"Bangladesh, Nepal warn of rising rivers as monsoon toll rises",1
Indo-Nepal conflict and coronavirus lockdown have intensified flood threat in Bihar,1
5 die in Assam due to floods; over 25 lakh affected,1
107 die and four million people displaced in worst Assam floods for years,1
Covid litigation and immunization,1
Over 25 lakh still affected in Assam floods; PM Modi takes stock of situation,1
"Floods in India, Nepal displace nearly 4 million people, 189 dead",1
Floods wreak havoc on croplands,1
China's Huaihe River faces rising flood risks,1
"PM speaks to Assam CM over flood situation, assures support",1
"Assam: 107 killed in flood, landslides so far, PM Modi assures all support to state",1
"New York City Agencies, Residents Brace For Sweltering Sunday, First Heat Wave Of The Year",1
Fort McMurray residents wary of plan to buy out homes in 3 flood-prone neighbourhoods,1
'It’s been a nightmare': UK flood victims stuck in limbo amid lockdown,1
"India, Nepal, Bangladesh monsoon floods displace nearly 4 million people",1
James Brown In Japan: Around The City That Turned To Football In Its Time Of Need,1
Himachal Pradesh: Police rescue locals from Kharogla Nalla during fl,1
Let Us Count the Ways the Heat Can Kill You: It’s 27,1
"Dangerous heat continues across US, 26 million at risk for severe weather today",1
Heatwave from Iraq grips Turkey,1
Water Development Board warns of another flood,1
"PM Modi takes stock of flood situation in Assam, assures CM Sonowal support",1
"California’s looming wildfire threat requires a cleaner, more resilient electrical grid",1
New evidence of mega tsunami that hit ancient Britain found off Lincolnshire coast,1
"Assam floods: Toll increases to 107, over 27 lakh people still affected",1
"As Assam floods and landslides leave 107 dead, Narendra Modi assures Sarbananda Sonowal of support",1
China blasts dam to release water as flooding death toll rises,1
"PWD, DJB, other agencies working on flood plan, execution process un",1
"Sinkhole appears at Taman U Thant road, DBKL says remedial works underway",1
Could Leaving ‘Room for the River’ Help Protect Communities from Floods?,1
"500 flood victims placed at relief centres in Dengkil, says assemblyman",1
"Assam floods: PM Modi takes stock, assures all support",1
"Ontario's humidity will fuel strong Sunday storms, some tornado risk",1
Flood situation improves slightly in Jamalpur,1
"Assam flood: 81 dead, over 36 lakh people affected; PM Modi assures help to CM",1
"PM Modi takes stock of floods, Baghjan oil well fire and COVID-19 situation in Assam",1
Unremitting water triggers flood in Ganges basin,1
4.6 magnitude earthquake jolts parts of KP,1
Flash Floods Caused Heavy Losses in Bamiyan,1
UP: Water gushes through roof of Bareilly hospital's coronavirus ward,1
"Floods in India, Nepal displace nearly 4 mln people, over 189 dead",1
Assam floods: 108 animals die at Kaziranga National Park,1
Assam’s flood-affected battle Covid-19 in relief camps; none infected yet,1
"PM speaks to Assam CM over flood,Covid-19 situation",1
500 flood victims placed at relief centres in Dengkil,1
Mini-heatwave comes to an abrupt end as torrential rain soaks the South and UK temperatures…,1
"Centre rejects Jharkhand’s drought relief proposal, no compensation for 7 lakh farmers",1
"Assam: PM Modi takes stock of floods, Baghjan oil well fire and Covid-19",1
"Rodong Sinmun Calls for Preventing Damage by Flood, Heavy Rain and Storm",1
"Floods in India, Nepal displace nearly 4m people, at least 189 dead",1
"PM Modi takes stock of floods, Baghjan oil well fire and COVID-19 si",1
I Was an Army COVID Planner. Trust Me: Texas Is F*cked.,1
Floods in India and Nepal kill 189 and displace nearly 4 million people,1
Flood situation continues improving in Brahmaputra basin,1
"Floods in India, Bangladesh, Nepal displace nearly 4 million",1
"Assam: 10 rhinos died during floods, 133 wild animals rescued, say Kaziranga officials",1
"Sachin Pilot condoles lives lost in Assam, Bihar due to floods",1
"PM speaks to Assam CM over flood situation, assures support as death toll reaches 81",1
Millions displaced as monsoon floods hit India and Nepal,1
Selangor hit by flash floods with 265 people moved to relief centres,1
"Assam flood: Over 54 lakh affected, 81 dead; PM Modi assures help",1
IN PICS: Devastating images of Bihar floods⁠— three lakh people affected in eight districts,1
Mainland raises flood alert levels along Huai River,1
At least 189 dead as floods sweep through India and Nepal,1
Family separated by floods,1
China raises Huai river flood alert level,1
"PM Modi Speaks To Assam CM As Floods Claim 81 Lives, Assures Support",1
Iran breaks all-time power consumption record amid heatwave,1
Third earthquake in a week hits Groningen province,1
"Floods in India, Nepal displace nearly four million people, at least 189 dead",1
China raises flood alert levels along Huai River,1
"PM Modi speaks to Assam CM over flood situation, assures support",1
"Floods in India, Nepal displace nearly 4 million people, at least 189 dead",1
PM Modi assures to extend help to Assam: CM Sarbananda Sonowal,1
Flood damage makes 2020 the worst year for cultural relics,1
"Sachin Pilot asks people to extend support to flood-hit Assam, Bihar",1
5.4-magnitude quake hits South Indian Ocean,1
Provincial govt to provide housing grant to victims,1
